label,seconds,m,lambda,mu
multi08_12_1,0.1,5,550,125
multi08_12_2,0.1,5,550,125
multi08_12_3,0.2,5,550,125
multi08_12_4,0.2,5,550,125
multi08_12_5,0.4,5,550,125
multi08_12_6,0.4,5,550,125
multi08_12_7,0.8,5,550,125
multi08_12_8,0.8,5,550,125
multi08_12_9,14400,5,550,125
multi12_15_1,0.1,7,800,125
multi12_15_2,0.1,7,800,125
multi12_15_3,0.2,7,800,125
multi12_15_4,0.2,7,800,125
multi12_15_5,0.4,7,800,125
multi12_15_6,0.4,7,800,125
multi12_15_7,0.8,7,800,125
multi12_15_8,0.8,7,800,125
multi12_15_9,10800,7,800,125
multi15_20_1,0.05,7,700,125
multi15_20_2,0.05,7,700,125
multi15_20_3,0.1,7,700,125
multi15_20_4,0.1,7,700,125
multi15_20_5,0.2,7,700,125
multi15_20_6,0.2,7,700,125
multi15_20_7,0.4,7,700,125
multi15_20_8,0.4,7,700,125
multi15_20_9,18000,7,700,125
multi20_24_1,0.05,10,1100,125
multi20_24_2,0.05,10,1100,125
multi20_24_3,0.1,10,1100,125
multi20_24_4,0.1,10,1100,125
multi20_24_5,0.2,10,1100,125
multi20_24_6,0.2,10,1100,125
multi20_24_7,0.4,10,1100,125
multi20_24_8,0.4,10,1100,125
multi20_24_9,14400,10,1100,125
multi24_08_1,0.1,3,200,125
multi24_08_2,0.1,3,200,125
multi24_08_3,0.2,3,200,125
multi24_08_4,0.2,3,200,125
multi24_08_5,0.4,3,200,125
multi24_08_6,0.4,3,200,125
multi24_08_7,0.8,3,200,125
multi24_08_8,0.8,3,200,125
multi24_08_9,28800,3,200,125
