label,E(ts),E(tq),util
http08_12_1,0.006413938,0.001233107,0.756908767
http08_12_2,0.007023094,0.001931765,0.830155888
http08_12_3,0.007602275,0.002431343,0.827027379
http08_12_4,0.007421940,0.002257566,0.836175072
http08_12_5,0.006948831,0.001928868,0.806572006
http08_12_6,0.006859237,0.001832014,0.804560415
http08_12_7,0.007037556,0.002000427,0.823453372
http08_12_8,0.007131850,0.002077427,0.826944053
http08_12_9,0.007127525,0.002127526,0.821324649
http12_15_1,0.010033100,0.005451303,0.869054679
http12_15_2,0.013532599,0.008376393,0.809760053
http12_15_3,0.017698611,0.012485002,0.814672639
http12_15_4,0.019906779,0.014867385,0.847953282
http12_15_5,0.020858036,0.015759576,0.853608041
http12_15_6,0.020657618,0.015491912,0.860630525
http12_15_7,0.017361007,0.012332417,0.833899376
http12_15_8,0.011514165,0.006462883,0.819331821
http12_15_9,0.012036467,0.007035923,0.833310111
http15_20_1,0.007839348,0.002705080,0.847589199
http15_20_2,0.008407278,0.003302902,0.862463765
http15_20_3,0.009343171,0.004230748,0.846502357
http15_20_4,0.010135809,0.004975350,0.858594613
http15_20_5,0.009250214,0.004210116,0.825567133
http15_20_6,0.007609928,0.002569301,0.816582923
http15_20_7,0.007843945,0.002809313,0.834143123
http15_20_8,0.007953950,0.002906453,0.836426845
http15_20_9,0.007938037,0.002938085,0.833236041
http20_24_1,0.010642851,0.006191515,0.780684040
http20_24_2,0.012784859,0.007672887,0.753117184
http20_24_3,0.014943035,0.009867340,0.739350337
http20_24_4,0.015872143,0.010919885,0.759168293
http20_24_5,0.018973299,0.013770936,0.788169780
http20_24_6,0.016492588,0.011323410,0.781546576
http20_24_7,0.014566147,0.009451520,0.767291696
http20_24_8,0.012307655,0.007158344,0.756630543
http20_24_9,0.011440324,0.006439476,0.750015424
http24_08_1,0.012072538,0.007223775,0.702504706
http24_08_2,0.009234833,0.004695023,0.617372286
http24_08_3,0.008294302,0.003480452,0.525897508
http24_08_4,0.007439510,0.002628324,0.515853722
http24_08_5,0.008400138,0.003531484,0.495507391
http24_08_6,0.008900207,0.003945388,0.495673006
http24_08_7,0.009495651,0.004361416,0.522391515
http24_08_8,0.009283340,0.004190359,0.521815240
http24_08_9,0.010006929,0.005006163,0.500028599
