label,E(ts),E(ts1),E(ts2),E(tq),E(tq1),E(tq2),util,util1,util2,sd2
http08_12_1,0.005791403,0.010002096,0.014969686,0.000552618,0.005001304,0.009995219,0.636513331,104871.100721182,104.103826574,3.008984589
http08_12_2,0.006852515,0.010002072,0.014968180,0.001812509,0.005001279,0.009994398,0.773478175,106168.186155893,105.407751511,3.192380670
http08_12_3,0.007767813,0.010002052,0.014970567,0.002776698,0.005001259,0.009997509,0.767379100,105265.761472863,104.543026082,3.168958713
http08_12_4,0.009515946,0.010002039,0.014977063,0.004399989,0.005001246,0.010004675,0.775333781,105879.594348388,105.150200721,3.112925834
http08_12_5,0.010263470,0.010002030,0.014987160,0.005316483,0.005001236,0.010015388,0.772363995,105284.463844775,104.570639337,3.214478463
http08_12_6,0.011968715,0.010002029,0.015001157,0.006876391,0.005001235,0.010029973,0.769045554,105507.145311935,104.805970608,3.126986235
http08_12_7,0.012607105,0.010002030,0.015018966,0.007607400,0.005001236,0.010048391,0.773924922,105195.242727994,104.503838755,3.179911502
http08_12_8,0.014375140,0.010002039,0.015040389,0.009319779,0.005001244,0.010070404,0.772318563,105511.007625119,104.824562813,3.161757650
http08_12_9,0.007128100,0.007278950,0.015006178,0.002128101,0.002278800,0.010007107,0.821324863,0.929804309,0.034393954,3.001235850
http12_15_1,0.011112913,0.007278951,0.015006195,0.006534692,0.002278801,0.010007126,0.872717552,807707.493649244,29878.064657274,3.412501213
http12_15_2,0.011972825,0.007278950,0.015006182,0.006951464,0.002278801,0.010007114,0.812013538,800028.700939721,29593.947483066,3.174006905
http12_15_3,0.013549300,0.007278950,0.015006212,0.008643815,0.002278801,0.010007148,0.787347210,808104.222045893,29893.951613630,3.257406930
http12_15_4,0.014004660,0.007278950,0.015006284,0.009208733,0.002278800,0.010007220,0.770625517,799104.337688241,29561.079109430,3.269741001
http12_15_5,0.016116502,0.007278949,0.015006402,0.011123413,0.002278800,0.010007334,0.784893436,803771.896994387,29734.396703685,3.219278807
http12_15_6,0.018645795,0.007278949,0.015006554,0.013658167,0.002278800,0.010007485,0.772263767,802936.662750881,29703.955898401,3.211949108
http12_15_7,0.021310759,0.007278949,0.015006769,0.016334695,0.002278800,0.010007700,0.786173785,806056.158869108,29819.837906166,3.215603673
http12_15_8,0.020347120,0.007278948,0.015007016,0.015465954,0.002278799,0.010007945,0.770520498,798221.656131468,29530.188585502,3.238357057
http12_15_9,0.012036025,0.007222065,0.015016820,0.007035481,0.002221805,0.010016889,0.833310776,3.190524411,0.642593049,3.003031512
http15_20_1,0.008077947,0.007222064,0.015016818,0.002978440,0.002221804,0.010016886,0.824204912,437453.530384369,88106.174695100,3.045009258
http15_20_2,0.009270698,0.007222064,0.015016829,0.004030913,0.002221804,0.010016896,0.841184945,435490.938177579,87710.802027709,2.950000726
http15_20_3,0.010681995,0.007222064,0.015016853,0.005584159,0.002221805,0.010016921,0.826953446,435544.015651180,87721.411714972,3.022356772
http15_20_4,0.012796252,0.007222065,0.015016894,0.007666814,0.002221805,0.010016961,0.824976682,436794.365678909,87973.340605511,3.011584448
http15_20_5,0.014638921,0.007222067,0.015016951,0.009519451,0.002221806,0.010017017,0.829087203,435435.414172032,87699.390961332,3.011495600
http15_20_6,0.016763159,0.007222069,0.015017022,0.011615051,0.002221808,0.010017089,0.830234511,435920.739900791,87797.198376862,3.001668616
http15_20_7,0.018276219,0.007222071,0.015017109,0.013165731,0.002221811,0.010017175,0.829749740,435404.303075362,87692.986421973,3.016386929
http15_20_8,0.020963889,0.007222074,0.015017212,0.015765072,0.002221813,0.010017278,0.831974255,435453.411229718,87702.804727081,2.981026157
http15_20_9,0.007937666,0.006986063,0.015011513,0.002937714,0.001985956,0.010011455,0.833236564,1.663304980,0.319867667,3.002331060
http20_24_1,0.010761307,0.006986063,0.015011516,0.006174923,0.001985956,0.010011459,0.848093355,2348758.379962123,451683.688262792,3.523974610
http20_24_2,0.011536389,0.006986063,0.015011518,0.006629488,0.001985956,0.010011461,0.775231698,2362187.630018012,454266.283792840,3.293368655
http20_24_3,0.011993876,0.006986063,0.015011520,0.007018886,0.001985956,0.010011464,0.756947107,2353785.937313355,452651.381913438,3.270616620
http20_24_4,0.013382853,0.006986063,0.015011523,0.008425444,0.001985956,0.010011468,0.754668389,2379383.430257932,457575.797481615,3.309853116
http20_24_5,0.013794367,0.006986064,0.015011529,0.008982804,0.001985956,0.010011474,0.734266246,2354101.297516124,452713.143502929,3.390369412
http20_24_6,0.015794732,0.006986064,0.015011536,0.010926453,0.001985957,0.010011482,0.717256617,2374566.955375048,456649.625507557,3.372391511
http20_24_7,0.017450851,0.006986064,0.015011547,0.012547446,0.001985957,0.010011493,0.739155093,2360197.099531358,453885.889109254,3.335186284
http20_24_8,0.018753491,0.006986064,0.015011559,0.013959905,0.001985957,0.010011506,0.725671461,2373895.485293398,456521.339936915,3.417653487
http20_24_9,0.011439646,0.007014095,0.015013185,0.006438798,0.002013902,0.010013125,0.750015774,6.594661101,1.592301989,3.002123106
http24_08_1,0.008935425,0.007014095,0.015013187,0.004703099,0.002013903,0.010013127,0.699524432,7023585.960006692,1695964.364012263,4.823363954
http24_08_2,0.009307416,0.007014095,0.015013188,0.004869287,0.002013903,0.010013128,0.560380701,5366661.416821515,1295809.805605826,5.013755965
http24_08_3,0.010409545,0.007014096,0.015013189,0.005382075,0.002013903,0.010013128,0.650113296,5482000.944678785,1323688.963425590,4.054083003
http24_08_4,0.008307725,0.007014096,0.015013189,0.003627246,0.002013903,0.010013128,0.586343474,5686208.247828901,1373001.630976660,4.175292542
http24_08_5,0.009615363,0.007014097,0.015013189,0.004846752,0.002013904,0.010013128,0.583034897,5625218.536288437,1358267.954496203,4.279485092
http24_08_6,0.010182479,0.007014097,0.015013189,0.004944456,0.002013905,0.010013128,0.609502450,5629092.894043614,1359199.701120469,4.053932841
http24_08_7,0.009966273,0.007014098,0.015013189,0.005465906,0.002013905,0.010013128,0.585210554,5607709.661940102,1354049.203895073,4.365650359
http24_08_8,0.010001973,0.007014098,0.015013189,0.005138083,0.002013906,0.010013128,0.574976772,5671834.457085976,1369523.922530299,4.109544251
http24_08_9,0.010006814,0.007224457,0.015013178,0.005006048,0.002224222,0.010013128,0.500028797,7.094127147,1.592780046,3.002170203
