label,E(ts),E(tq),util
multi08_12_1,0.012865836,0.004542574,0.807542892
multi08_12_2,0.015929490,0.007843834,0.875158310
multi08_12_3,0.019529468,0.011339015,0.879410015
multi08_12_4,0.021848043,0.013585764,0.877958621
multi08_12_5,0.021318483,0.013265984,0.874088960
multi08_12_6,0.017020262,0.008939464,0.868935260
multi08_12_7,0.016273829,0.008227762,0.879943140
multi08_12_8,0.016403096,0.008356718,0.880497742
multi08_12_9,0.017596402,0.009595486,0.879968153
multi12_15_1,0.016001581,0.007610337,0.897268786
multi12_15_2,0.018595245,0.010354880,0.906386370
multi12_15_3,0.021116601,0.013049245,0.907432892
multi12_15_4,0.020716875,0.012676803,0.905250841
multi12_15_5,0.019360850,0.011311041,0.905731305
multi12_15_6,0.017415475,0.009389600,0.909610459
multi12_15_7,0.018791599,0.010734649,0.922862415
multi12_15_8,0.018595924,0.010537643,0.925474574
multi12_15_9,0.018101026,0.010100661,0.914144219
multi15_20_1,0.017827437,0.009649307,0.903833370
multi15_20_2,0.016010815,0.007868915,0.842899472
multi15_20_3,0.016419728,0.008174702,0.832449423
multi15_20_4,0.015709921,0.007490241,0.826324529
multi15_20_5,0.014328155,0.006221084,0.811681641
multi15_20_6,0.012624718,0.004519746,0.809635852
multi15_20_7,0.010733084,0.002725958,0.786148847
multi15_20_8,0.010276521,0.002311921,0.778501047
multi15_20_9,0.010775133,0.002775109,0.799864798
multi20_24_1,0.010730026,0.002557749,0.811249994
multi20_24_2,0.012614445,0.004367749,0.876886059
multi20_24_3,0.013699426,0.005600738,0.880662032
multi20_24_4,0.014323458,0.006091855,0.890010932
multi20_24_5,0.014092872,0.005989925,0.873370312
multi20_24_6,0.011897509,0.003827357,0.868602809
multi20_24_7,0.011457057,0.003414646,0.880227435
multi20_24_8,0.011528824,0.003483954,0.880568247
multi20_24_9,0.012071204,0.004071241,0.879874251
multi24_08_1,0.017544207,0.010062737,0.736576550
multi24_08_2,0.012107904,0.004124228,0.560074386
multi24_08_3,0.009466736,0.001283173,0.566421960
multi24_08_4,0.009336805,0.001212587,0.556663749
multi24_08_5,0.009314020,0.001161714,0.541988780
multi24_08_6,0.009279771,0.001116964,0.542195659
multi24_08_7,0.009218813,0.001197500,0.526399166
multi24_08_8,0.009277349,0.001242924,0.526716925
multi24_08_9,0.009566691,0.001566060,0.533303368
