label,E(ts),E(ts1),E(ts2),E(tq),E(tq1),E(tq2),util,util1,util2,sd2
multi08_12_1,0.012865836,0.009564663,0.011312062,0.004542574,0.001564020,0.003322918,0.807542892,92557.564503564,92.994746087,1.387164111
multi08_12_2,0.015929490,0.009564661,0.011362009,0.007843834,0.001564019,0.003370619,0.875158310,92772.506912585,93.908367408,1.431602440
multi08_12_3,0.019529468,0.009564661,0.011526027,0.011339015,0.001564018,0.003532105,0.879410015,46177.631194945,47.416887452,1.418473214
multi08_12_4,0.021848043,0.009564661,0.011725689,0.013585764,0.001564018,0.003727074,0.877958621,46304.272290914,48.218330791,1.428411074
multi08_12_5,0.021318483,0.009564659,0.012108681,0.013265984,0.001564017,0.004107884,0.874088960,23069.861345319,24.702124469,1.509779561
multi08_12_6,0.017020262,0.009564659,0.012301926,0.008939464,0.001564016,0.004299984,0.868935260,23093.083440603,25.392679250,1.524986174
multi08_12_7,0.016273829,0.009564656,0.012614686,0.008227762,0.001564014,0.004608263,0.879943140,11523.556134693,13.350480127,1.567678122
multi08_12_8,0.016403096,0.009564655,0.012903202,0.008356718,0.001564012,0.004895591,0.880497742,11525.717425148,14.029676212,1.603188477
multi08_12_9,0.017596402,0.009535430,0.020013929,0.009595486,0.001534375,0.012013435,0.879968153,0.841167702,0.678946068,2.501452963
multi12_15_1,0.016001581,0.009535430,0.020013901,0.007610337,0.001534374,0.012013404,0.897268786,87169.673347946,70359.321072275,2.425538843
multi12_15_2,0.018595245,0.009535429,0.020013909,0.010354880,0.001534373,0.012013408,0.906386370,87216.627728489,70398.044712099,2.463141542
multi12_15_3,0.021116601,0.009535428,0.020013996,0.013049245,0.001534371,0.012013495,0.907432892,43433.474108871,35058.411523901,2.505553762
multi12_15_4,0.020716875,0.009535426,0.020014076,0.012676803,0.001534369,0.012013573,0.905250841,43386.073306352,35020.762584304,2.506825897
multi12_15_5,0.019360850,0.009535422,0.020014169,0.011311041,0.001534366,0.012013663,0.905731305,21665.418086739,17488.702538453,2.494298244
multi12_15_6,0.017415475,0.009535417,0.020014151,0.009389600,0.001534362,0.012013642,0.909610459,21666.578438181,17490.265767083,2.500730684
multi12_15_7,0.018791599,0.009535412,0.020014250,0.010734649,0.001534355,0.012013738,0.922862415,10823.414182732,8737.789277972,2.487396868
multi12_15_8,0.018595924,0.009535409,0.020014316,0.010537643,0.001534349,0.012013802,0.925474574,10822.036242581,8737.301508079,2.486566926
multi12_15_9,0.018101026,0.009451513,0.020009561,0.010100661,0.001450685,0.012009047,0.914144219,0.959732335,1.402393230,2.501079415
multi15_20_1,0.017827437,0.009451519,0.020009573,0.009649307,0.001450689,0.012009059,0.903833370,210399.875355766,307442.445560290,2.485593894
multi15_20_2,0.016010815,0.009451527,0.020009584,0.007868915,0.001450696,0.012009071,0.842899472,210355.770246747,307377.388712879,2.535232808
multi15_20_3,0.016419728,0.009451547,0.020009608,0.008174702,0.001450715,0.012009095,0.832449423,104217.894771878,152284.564644763,2.478341655
multi15_20_4,0.015709921,0.009451563,0.020009631,0.007490241,0.001450729,0.012009118,0.826324529,104243.308873875,152320.618319370,2.482087374
multi15_20_5,0.014328155,0.009451582,0.020009670,0.006221084,0.001450747,0.012009157,0.811681641,52028.594883706,76023.294356678,2.489546733
multi15_20_6,0.012624718,0.009451604,0.020009686,0.004519746,0.001450768,0.012009173,0.809635852,52050.595419694,76054.352777792,2.488545650
multi15_20_7,0.010733084,0.009451629,0.020009689,0.002725958,0.001450792,0.012009175,0.786148847,25949.409487461,37915.214007964,2.507427556
